,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,trips
4625,Central Park S & 6 Ave,Central Park S & 6 Ave,40.76590936,-73.97634151,40.76590936,-73.97634151,1001
3590,7 Ave & Central Park South,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,40.7667405590595,-73.9790689945221,673
4289,Roosevelt Island Tramway,Roosevelt Island Tramway,40.757284,-73.9536,40.757284,-73.9536,654
7081,Grand Army Plaza & Central Park S,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,40.7643971,-73.97371465,614
19310,Soissons Landing,Soissons Landing,40.69231660719192,-74.01486575603485,40.69231660719192,-74.01486575603485,577
1431,W 21 St & 6 Ave,9 Ave & W 22 St,40.74173969,-73.99415556,40.7454973,-74.00197139,539
703,5 Ave & E 72 St,5 Ave & E 72 St,40.772828,-73.966853,40.772828,-73.966853,502
912,1 Ave & E 62 St,1 Ave & E 68 St,40.7612274,-73.96094022,40.76500525,-73.95818491,491
420,Yankee Ferry Terminal,Yankee Ferry Terminal,40.68706579875912,-74.01675585121666,40.68706579875912,-74.01675585121666,486
4240,Broadway & W 58 St,Broadway & W 58 St,40.76695317,-73.98169333,40.76695317,-73.98169333,463
2288,Central Park West & W 72 St,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,40.77579376683666,-73.9762057363987,423
336,12 Ave & W 40 St,12 Ave & W 40 St,40.76087502,-74.00277668,40.76087502,-74.00277668,422
3820,Broadway & W 41 St,Broadway & W 41 St,40.75513557,-73.98658032,40.75513557,-73.98658032,412
9119,West St & Chambers St,Pier 40 - Hudson River Park,40.71754834,-74.01322069,40.7277140777778,-74.01129573583603,397
60443,Yankee Ferry Terminal,Soissons Landing,40.68706579875912,-74.01675585121666,40.69231660719192,-74.01486575603485,388
774,West Drive & Prospect Park West,West Drive & Prospect Park West,40.6610633719006,-73.97945255041122,40.6610633719006,-73.97945255041122,379
378,5 Ave & E 87 St,5 Ave & E 87 St,40.782323,-73.959875,40.782323,-73.959875,371
62019,Soissons Landing,Yankee Ferry Terminal,40.69231660719192,-74.01486575603485,40.68706579875912,-74.01675585121666,370
821,Roosevelt Island Tramway,Motorgate,40.757284,-73.9536,40.7639089,-73.9477213,361
23073,N 6 St & Bedford Ave,S 4 St & Wythe Ave,40.71745169,-73.95850939,40.71285887,-73.96590294,358
12915,West St & Chambers St,West St & Chambers St,40.71754834,-74.01322069,40.71754834,-74.01322069,357
15140,North Moore St & Greenwich St,Vesey St & Church St,40.72019521437465,-74.0103006362915,40.71221958009051,-74.01047229766846,357
